Survey,Year,Summary Area,NMFS Reporting Area,Species Code,Common Name,Scientific Name,Haul Count,Catch Count,Mean Weight CPUE,Var Weight CPUE,Mean Number CPUE,Var Number CPUE,Area Biomass,Area Biomass Var,Min Area Biomass,Max Area Biomass,Area Population,Area Population Var,Min Area Population,Max Area Population,AKFIN Load Date
GOA,1996,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,183,156,4323.80645692936,1355797.75048617,5339.38361708023,1221714.14602103,272548.4,5387040300.46514,125755,419341,336564962,4854281059179840,197219620,475910304,2023-09-14 19:00:20
GOA,1996,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,210,171,2204.26102935462,323295.41150433,2502.86170298929,226523.213294362,212158.6,2995006991.68231,100407,323910,240899700,2098509856474940,147356711,334442689,2023-09-14 19:00:20
GOA,1996,949,Yakutat,21740,walleye pollock,Gadus chalcogrammus,116,103,364.467679098995,4527.32197898401,3951.36371250418,1648465.14294552,19622.2,13123976.8465171,12301,26944,212744912,4778634801928190,73037890,352451934,2023-09-14 19:00:20
GOA,1996,959,Southeastern,21740,walleye pollock,Gadus chalcogrammus,98,68,2636.66323075151,1750743.53241566,27156.4147487733,342297568.312629,68024.8,1165352367.91807,0,146745,700632062,227844498283153000,0,1801356417,2023-09-14 19:00:20
GOA,1999,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,147,133,6625.75046711184,12474833.54289,6676.06065072835,9863463.37828989,432182.3,53076152776.5319,0,903315,435464977,41965665303022800,16536031,854393923,2023-09-14 19:00:20
GOA,1999,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,168,129,755.202612345803,38292.2433979129,1046.41092446031,45559.977000593,51395.3,177340311.473989,24202,78588,71210476,210998881106906,41548791,100872161,2023-09-14 19:00:20
GOA,1999,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,246,165,1079.88335812469,55484.9047816614,2169.06691343556,156466.939711202,109596.2,571488103.743287,61785,157408,220135133,1611591387350170,139845871,300424395,2023-09-14 19:00:20
GOA,1999,949,Yakutat,21740,walleye pollock,Gadus chalcogrammus,134,99,203.152375273731,1769.80367003816,1400.61366017458,290214.717309799,11620.1,5790015.17051883,6808,16433,80110770,949454249857746,18484339,141737201,2023-09-14 19:00:20
GOA,1999,959,Southeastern,21740,walleye pollock,Gadus chalcogrammus,69,41,1034.62995036496,203340.043764777,3022.18644788017,3553172.16740099,29011,159870581.267774,1182,56840,84740813,2793585017636710,0,201073294,2023-09-14 19:00:20
GOA,2001,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,139,87,1417.10767142252,915309.988346949,3016.00097857845,1398492.36495701,86847.4,3437758941.45107,0,209155,184836383,5252515206203190,33655122,336017644,2023-09-14 19:00:20
GOA,2001,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,140,91,526.24880423318,19176.8461165895,3332.64617813558,2081005.05075722,33170.6,76196057.1396743,15529,50812,210071787,8268532729074650,26299281,393844293,2023-09-14 19:00:20
GOA,2001,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,210,124,943.346591970913,37012.46528908,3587.01834870399,1774783.44945888,90796.6,342883283.757056,52281,129312,345248089,16441584540646100,78540625,611955553,2023-09-14 19:00:20
GOA,2003,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,230,148,3370.04189584251,438999.37236075,4936.40237495596,953364.380687477,213291.3,1758495417.14188,129422,297160,312427102,3818882212267900,188832892,436021312,2023-09-14 19:00:20
GOA,2003,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,172,96,1100.75729694189,107295.399765017,1693.63807744291,201065.987278007,71535.6,453150329.506654,28514,114557,110065434,849180100797916,51172090,168958778,2023-09-14 19:00:20
GOA,2003,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,248,139,1030.76667992422,35777.7459121328,1572.86510297217,75347.941848584,101010.2,343570785.207558,63939,138082,154131413,723560159666533,100333266,207929560,2023-09-14 19:00:20
GOA,2003,949,Yakutat,21740,walleye pollock,Gadus chalcogrammus,79,64,311.630957612062,6843.67302055925,1748.33765645464,130080.591089231,17237.4,20936230.1740193,6887,27587,96700076,397943792468636,51576504,141823648,2023-09-14 19:00:20
GOA,2003,959,Southeastern,21740,walleye pollock,Gadus chalcogrammus,80,61,754.185168142251,24587.1622197288,3994.56477697636,2131320.38185376,20237.7,17703423.5009673,11486,28989,107187649,1534608467581690,25705565,188669733,2023-09-14 19:00:20
GOA,2005,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,180,100,2137.44212681227,503207.487018629,2702.68023364016,683880.916136367,139421.7,2140975858.9138,45909,232935,176290559,2909679544902330,67274898,285306220,2023-09-14 19:00:20
GOA,2005,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,177,94,893.352619427767,131894.480429741,1462.31082721281,87770.4689946829,60795.6,610834105.436223,10846,110745,99514765,406485515825994,58768402,140261128,2023-09-14 19:00:20
GOA,2005,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,293,178,1418.7013029427,58999.1729535736,3738.45889500554,748808.486818697,143982.3,607684659.572563,94680,193285,379409751,7712640832364490,203766467,555053035,2023-09-14 19:00:20
GOA,2005,949,Yakutat,21740,walleye pollock,Gadus chalcogrammus,92,76,238.614301141025,1373.10921077638,894.950265695021,21460.2707304044,13647.9,4492206.280148,9320,17976,51187185,70208518151509.7,34077160,68297210,2023-09-14 19:00:20
GOA,2005,959,Southeastern,21740,walleye pollock,Gadus chalcogrammus,95,66,820.953370241763,22674.9406425276,2635.51239970948,470650.763237181,23019.5,17827555.6236557,14486,31553,73899008,370036367159882,35022386,112775630,2023-09-14 19:00:20
GOA,2007,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,205,143,1496.69788120824,118585.790710803,2483.8905579882,208767.703529727,97626.6,504542006.372481,52703,142551,162018292,888235220875144,102411741,221624843,2023-09-14 19:00:20
GOA,2007,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,199,125,1331.01821003182,171224.072271923,1798.24194086197,103203.739880725,90579.5,792978619.534279,33668,147491,122376222,477960593364606,78192494,166559950,2023-09-14 19:00:20
GOA,2007,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,271,183,792.228088773858,39158.2618467191,2490.47524767228,598684.039326192,80404,403325569.300806,39816,120992,252754258,6166376381508720,94052650,411455866,2023-09-14 19:00:20
GOA,2007,949,Yakutat,21740,walleye pollock,Gadus chalcogrammus,76,60,345.534851960576,2456.199642389,1568.95278762018,220660.238848435,19763.3,8035599.33342695,13850,25677,89740417,721902746667489,33693252,145787582,2023-09-14 19:00:20
GOA,2007,959,Southeastern,21740,walleye pollock,Gadus chalcogrammus,65,41,965.353567794052,291641.456525121,2499.98845515451,1322029.36752351,27067.8,229295166.427655,0,60396,70098736,1039409648615710,0,141058705,2023-09-14 19:00:20
GOA,2009,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,196,133,3266.99768334918,1349005.17263279,2347.36658567096,472924.13132438,213097.6,5739555914.13871,58396,367799,153112782,2012130531407990,61515241,244710323,2023-09-14 19:00:20
GOA,2009,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,190,141,3472.01707224638,753962.572052952,5828.86821224994,1810814.65930064,236283.3,3491776545.40052,116860,355707,396672561,8386305089650170,211595906,581749216,2023-09-14 19:00:20
GOA,2009,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,280,173,1957.92958193348,209586.918380965,2732.07472501227,652752.297988946,198707.1,2158721025.58829,105783,291631,277272951,6723273194028640,113281815,441264087,2023-09-14 19:00:20
GOA,2009,949,Yakutat,21740,walleye pollock,Gadus chalcogrammus,83,61,429.033668280174,7616.3785414297,1772.1997789118,233043.674135652,24540.3,24917423.3537109,14332,34748,101364418,762415872157038,44898125,157830711,2023-09-14 19:00:20
GOA,2009,959,Southeastern,21740,walleye pollock,Gadus chalcogrammus,74,55,1105.67646466889,117657.505623843,4202.01994006704,7212004.64321668,31003,92505015.0788771,10372,51634,117822791,5670242580210650,0,279343464,2023-09-14 19:00:20
GOA,2011,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,163,123,3643.32034280615,1043540.58975588,3299.38638637056,544495.624129913,230589.4,4180100155.54026,101282,359897,208819377,2181080703002550,115415294,302223460,2023-09-14 19:00:20
GOA,2011,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,155,107,2543.92975088561,561034.004380997,3606.93787515514,858946.259297701,165323,2369465461.76697,66946,263700,234406121,3627665130860250,112681086,356131156,2023-09-14 19:00:20
GOA,2011,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,228,166,2450.95844268396,308750.027405437,4800.00473239295,1393331.60988105,240180.9,2964901411.3147,130136,350226,470374345,13380050169650500,236600896,704147794,2023-09-14 19:00:20
GOA,2011,949,Yakutat,21740,walleye pollock,Gadus chalcogrammus,68,55,650.065607895423,26731.7853450234,2135.20722024081,374955.505904901,35954.7,81778134.2364823,17027,54882,118097824,1147067481607900,47211295,188984353,2023-09-14 19:00:20
GOA,2011,959,Southeastern,21740,walleye pollock,Gadus chalcogrammus,56,41,1343.24292791414,202167.64343257,4453.92005223282,4926146.66817392,36044.3,145566185.226837,9754,62334,119513532,3546959177931670,0,249286825,2023-09-14 19:00:20
GOA,2013,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,136,105,4253.89802406904,6116565.42270671,9790.9152554851,13320551.1656403,269231.2,24501065244.4384,0,589801,619672522,53357999244093500,146597824,1092747220,2023-09-14 19:00:20
GOA,2013,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,126,104,4312.11586836046,1619063.62338803,5112.65762406268,1405483.85263098,280234,6837937283.77289,111377,449091,332259881,5935906593673620,174934328,489585434,2023-09-14 19:00:20
GOA,2013,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,187,150,3848.66268654328,1086559.44012911,5345.40455425741,1051691.06893163,377147.8,10434141964.5794,168562,585733,523819262,10099303830823000,318607875,729030649,2023-09-14 19:00:20
GOA,2013,949,Yakutat,21740,walleye pollock,Gadus chalcogrammus,61,53,813.522620065817,65907.7426980445,8456.25934837027,25140228.6840189,44996.8,201625598.889811,13360,76633,467715521,76909228827108800,0,1085595915,2023-09-14 19:00:20
GOA,2013,959,Southeastern,21740,walleye pollock,Gadus chalcogrammus,38,27,1611.2897732189,212810.150409625,2600.45382701232,285946.772137195,43236,153229078.831355,15991,70481,69778979,205889429639725,38197165,101360793,2023-09-14 19:00:20
GOA,2015,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,189,153,6191.89774499932,2170843.40707176,10396.3619840552,8294811.61811048,403884.4,9236196694.05028,211674,596095,678130971,35291588234963500,302409860,1053852082,2023-09-14 19:00:20
GOA,2015,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,179,140,1440.07717252533,309645.936626383,2886.12536870254,1183965.38522703,98000.8,1434042562.54599,19650,176351,196410358,5483219878468320,43203459,349617257,2023-09-14 19:00:20
GOA,2015,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,255,197,1788.20084638782,235320.576365546,1985.17658797691,210710.652644571,181481.5,2423774727.34479,81984,280979,201472660,2170295358570330,107321487,295623833,2023-09-14 19:00:20
GOA,2015,949,Yakutat,21740,walleye pollock,Gadus chalcogrammus,80,69,566.753211769584,26075.8561114942,1193.10293969667,46142.8588904775,32417.8,85308672.9482044,13308,51528,68242799,150959034332443,42821950,93663648,2023-09-14 19:00:20
GOA,2015,959,Southeastern,21740,walleye pollock,Gadus chalcogrammus,68,47,1136.56308646341,62307.3195647904,2349.53320504721,229736.44244662,31868.9,48987436.0781733,17577,46161,65879919,180624032100724,38436166,93323672,2023-09-14 19:00:20
GOA,2017,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,125,96,3390.79545713014,4627894.20212646,4993.27823459693,9082016.33509539,214604.8,18537909750.7441,0,493993,316027661,36379742453365000,0,707415355,2023-09-14 19:00:20
GOA,2017,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,118,95,364.043726920891,6447.54113364351,1012.8344715974,54237.0807488025,23658.2,27230481.4150185,13002,34314,65821050,229064350071160,34915641,96726459,2023-09-14 19:00:20
GOA,2017,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,178,137,446.977241559609,18575.4990758607,1721.84076670316,267024.402319109,43802.5,178379007.408387,16810,70795,168731020,2564213625969210,66391491,271070549,2023-09-14 19:00:20
GOA,2017,949,Yakutat,21740,walleye pollock,Gadus chalcogrammus,70,61,170.583266795181,1582.42859614999,1362.09500849953,74687.8853369957,9434.5,4840980.74578073,4458,14411,75337989,228485895502109,41146163,109529815,2023-09-14 19:00:20
GOA,2017,959,Southeastern,21740,walleye pollock,Gadus chalcogrammus,45,35,880.111555744442,224846.561133665,9411.8917709664,40409974.1039679,23616.3,161895620.930642,0,52398,252553140,29096277107230800,0,638396750,2023-09-14 19:00:20
GOA,2019,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,123,101,1885.14708342028,658327.86657267,2650.51495079808,1335901.63293651,119312.2,2637057383.74841,15529,223095,167751978,5351207876763820,19911886,315592070,2023-09-14 19:00:20
GOA,2019,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,121,98,560.885986134435,42732.4660014201,1502.37135611608,186630.820556048,36449.8,180475874.003772,7822,65078,97634138,788214760523638,37805966,157462310,2023-09-14 19:00:20
GOA,2019,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,176,143,927.841080246324,68733.2934772658,2227.01357865932,423617.229123888,90921.2,660040229.138014,37997,143845,218234655,4067961810533970,86846669,349622641,2023-09-14 19:00:20
GOA,2019,949,Yakutat,21740,walleye pollock,Gadus chalcogrammus,69,62,365.510818517088,7019.5310730658,1627.01609833549,186724.768299567,20216.8,21474216.8157205,9892,30541,89990377,571230202928469,36740235,143240519,2023-09-14 19:00:20
GOA,2019,959,Southeastern,21740,walleye pollock,Gadus chalcogrammus,52,42,1500.30429178334,144320.149142071,3235.53875302278,438252.628408826,40257.6,103914420.751441,18535,61981,86819997,315553776063998,48965268,124674726,2023-09-14 19:00:20
GOA,2021,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,114,75,3994.70821118853,1133150.00708039,7873.16478482457,3703200.37086426,252826.7,4539047706.76462,115252,390401,498296715,14833872872992700,249592575,747000855,2023-09-14 19:00:20
GOA,2021,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,115,104,1750.13710425902,289268.071989902,5577.63475945532,3804142.50133837,113737.1,1221691912.46834,42364,185111,362477408,16066377792031000,103647341,621307475,2023-09-14 19:00:20
GOA,2021,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,177,142,1110.4153472048,46473.4864762851,2477.91893837534,345006.187304683,108812.6,446281112.264691,65463,152162,242823028,3313066367144700,124711463,360934593,2023-09-14 19:00:20
GOA,2021,949,Yakutat,21740,walleye pollock,Gadus chalcogrammus,70,65,614.190584059822,18599.9132572446,2712.37141508927,583772.679836723,33971.6,56901033.1149111,17535,50408,150022161,1785882983837670,57938256,242106066,2023-09-14 19:00:20
GOA,2021,959,Southeastern,21740,walleye pollock,Gadus chalcogrammus,53,39,726.454409530598,16848.5757280853,1920.5606047086,170302.341833352,19493.3,12131431.3883314,12249,26738,51534874,122622304019418,28502003,74567745,2023-09-14 19:00:20
GOA,2023,919,Shumagin,21740,walleye pollock,Gadus chalcogrammus,118,110,7587.88585313747,1869683.91510407,14697.1421888706,7607718.96423079,480241.5,7489374252.4821,305342,655141,930189413,30474164146434600,577386457,1282992369,2023-09-14 19:00:20
GOA,2023,929,Chirikof,21740,walleye pollock,Gadus chalcogrammus,122,90,2460.29710439135,644931.890231861,3825.26248880806,1129443.5912219,159888.6,2723798962.5647,50655,269122,248594548,4770080885501820,104039887,393149209,2023-09-14 19:00:20
GOA,2023,939,Kodiak,21740,walleye pollock,Gadus chalcogrammus,182,150,2301.98349679951,291666.908802678,4013.86386165127,808694.712348799,225582.1,2800853612.25664,119736,331428,393336419,7765829574541650,217088530,569584308,2023-09-14 19:00:20
GOA,2023,949,Yakutat,21740,walleye pollock,Gadus chalcogrammus,64,59,877.786762504339,62382.7240279847,4632.28169535406,1225271.19830685,48550.5,190841827.949501,17772,79329,256212106,3748361407139880,119805339,392618873,2023-09-14 19:00:20
GOA,2023,959,Southeastern,21740,walleye pollock,Gadus chalcogrammus,40,25,283.335092581347,6240.49649437111,890.812108955876,65190.7807775032,7602.9,4493326.6925577,3194,12012,23903834,46939129865780.3,9653309,38154359,2023-09-14 19:00:20
